key,kind,eventStableId,choiceStableId,sourceRow,text,previewOrResultHint,background,notes
CHOICE_EVT_F01_PRIEST_ATTACK_RESULT,resultText,EVT_F01_PRIEST,CHOICE_EVT_F01_PRIEST_ATTACK,10,"탑의 괴물들과 비슷한 모습에 무기를 휘둘렀다. 날카로운 충돌음과 함께 사제를 감싸고 있던 노란 결정의 일부가 떨어져 나왔다. 반동으로 손이 저릴 정도로 강하게 내리쳤으나, 사제는 여전히 미동도 없이 미소짓고 있을 뿐이다. ",디버프 + 유물,,
EVT_F02_MAGIC_ANVIL_BODY,body,EVT_F02_MAGIC_ANVIL,,11,"이곳은 한 때 대장간이었던 공간 인 듯 하다. 화구는 싸늘하고 텅 비어있으며 불온한 기온은 여타 다른 방들과 동일하나, 이 방의 한 가운데에는 거대한 모루가 땅과 한 몸이 되어 있다. 모루 주위엔 은은한 열기가 흩뿌려지고 있다.",,대장간,
CHOICE_EVT_F02_MAGIC_ANVIL_PLACE_WEAPON_TEXT,choiceLabel,EVT_F02_MAGIC_ANVIL,CHOICE_EVT_F02_MAGIC_ANVIL_PLACE_WEAPON,12,모루 위에 무기를 올린다.,무기 강화 (or 영구 데미지 up),,
CHOICE_EVT_F02_MAGIC_ANVIL_PLACE_WEAPON_RESULT,resultText,EVT_F02_MAGIC_ANVIL,CHOICE_EVT_F02_MAGIC_ANVIL_PLACE_WEAPON,12,"여전히 은은하게 뜨거운 모루 위에 무기를 올려뒀다. 잠시 후 거대한 불기둥이 솟아올라 무기를 감싸더니, 이윽고 불길속에서 이전보다 더 흉흉하고 날카롭게 연마 된 무기가 나타났다.",무기 강화 (or 영구 데미지 up),,
CHOICE_EVT_F02_MAGIC_ANVIL_PLACE_ARMOR_TEXT,choiceLabel,EVT_F02_MAGIC_ANVIL,CHOICE_EVT_F02_MAGIC_ANVIL_PLACE_ARMOR,13,모루 위에 방어구를 올린다.,방어구 강화 (or 영구 방어도 up),,
CHOICE_EVT_F02_MAGIC_ANVIL_PLACE_ARMOR_RESULT,resultText,EVT_F02_MAGIC_ANVIL,CHOICE_EVT_F02_MAGIC_ANVIL_PLACE_ARMOR,13,"여전히 은은하게 뜨거운 모루 위에 방어구를 올려뒀다. 잠시 후 거대한 불기둥이 솟아올라 장비를 감싸더니, 이윽고 불길속에서 이전보다 더 견고하고 촘촘히 수선된 방어구가 나타났다.",방어구 강화 (or 영구 방어도 up),,
CHOICE_EVT_F02_MAGIC_ANVIL_CLIMB_ON_TEXT,choiceLabel,EVT_F02_MAGIC_ANVIL,CHOICE_EVT_F02_MAGIC_ANVIL_CLIMB_ON,14,모루 위에 올라간다.,체력 감소 + 디버프 + 강화,,
CHOICE_EVT_F02_MAGIC_ANVIL_CLIMB_ON_RESULT,resultText,EVT_F02_MAGIC_ANVIL,CHOICE_EVT_F02_MAGIC_ANVIL_CLIMB_ON,14,"사람 한 명 올라 설 수 있는 넓은 모루 위로 올라섰다. 잠시 후 거대한 불기둥이 솟아올라 나를 감쌌다. 잠시 후, 불길이 걷히고난 나는 내 전신에는 이전과 다른 눈치채지 못한 낙인을 발견 할 수 있었다.",체력 감소 + 디버프 + 강화,,
EVT_F03_BALCONY_BODY,body,EVT_F03_BALCONY,,15,"문 위로 한 단어가 적혀있다. ""발코니"". 이쯤 올라왔다면, 바깥상황을 한 번 확인 해 볼 수 있을것만 같다.",,닫힌 문,
CHOICE_EVT_F03_BALCONY_NORMAL_VIEW_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_NORMAL_VIEW,16,평범한 풍경,"20%확률 소량의 체력, 스태미나 회복",평범한 왕국,
CHOICE_EVT_F03_BALCONY_NORMAL_VIEW_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_NORMAL_VIEW,16,"바깥은 내가 알고 있는 풍경과 별 반 다르지 않았다. 그러나, 탑 밖에서 흘러 가는 평범한 하루가 나에게 기묘한 평온함을 주었다.","20%확률 소량의 체력, 스태미나 회복",평범한 왕국,
CHOICE_EVT_F03_BALCONY_MURKY_VIEW_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_MURKY_VIEW,17,혼탁한 풍경, 20%확률 강화,흐린 왕국,
CHOICE_EVT_F03_BALCONY_MURKY_VIEW_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_MURKY_VIEW,17,바깥은 굉장히 흐리고 안개 낀 나날이 지속 된 모양이다. 습한 공기와 젖은 먼지 냄새의 가라앉은 분위기가 나의 오감을 곤두세웠다., 20%확률 강화,흐린 왕국,
CHOICE_EVT_F03_BALCONY_OMINOUS_VIEW_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_OMINOUS_VIEW,18,불길한 풍경,20%확률 저주,전란에 휩싸인 왕국,
CHOICE_EVT_F03_BALCONY_OMINOUS_VIEW_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_OMINOUS_VIEW,18,"바깥은 끔찍한 풍경이었다. 곳곳에 불길과 연기가 피어오르고, 땅에서 솟구친 살덩어리와 뼈가 섞인 구조물 위를 까마귀 무리가 날아다니며, 언뜻 비명소리가 들린 듯 하다. 이것이 현실일 리 없다 부정하며 돌아나왔다. 기분이 상당히 불쾌했다.",20%확률 저주,전란에 휩싸인 왕국,
CHOICE_EVT_F03_BALCONY_SUNNY_VIEW_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_SUNNY_VIEW,19,화창한 풍경,20%확률 엔딩 분기점,매우 화창한 왕국,
CHOICE_EVT_F03_BALCONY_SUNNY_VIEW_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_SUNNY_VIEW,19,"바깥은... 굉장히 화창했다. 왕국을 둘러싸고있는 산 너머 수백리까지 맑게 비쳐보였으며, 마을은 고요하되 싸늘하지 않았으며, 황금빛의 호밀밭이 넘실거리고 있었다. 마치 불길한 탑이 세워지기 전의 여느 추수철과도 같이...",20%확률 엔딩 분기점,매우 화창한 왕국,
CHOICE_EVT_F03_BALCONY_JUMP_INTO_SUNNY_VIEW_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_JUMP_INTO_SUNNY_VIEW,20, 화창한 풍경 속으로 뛰어든다.,게임 오버,추락,
CHOICE_EVT_F03_BALCONY_JUMP_INTO_SUNNY_VIEW_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_JUMP_INTO_SUNNY_VIEW,20,"나를 부르는듯한 소리에 무심코 손을 뻗어 그리운 사람들의 얼굴을 감싼 화사한 햇볕을 가려주려 했다. 그러나

그 런 것 이 현 실 일 리 없 었 다 .",게임 오버,추락,
CHOICE_EVT_F03_BALCONY_BASK_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_BASK,21,볕을 쬔다.,"버프, 체력, 스태미나 회복",매우 화창한 왕국2,
CHOICE_EVT_F03_BALCONY_BASK_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_BASK,21,"나를 부르는듯한 소리가 들린다. 아이들의 뛰어노는 소리. 새들의 지저귐. 바람이 숲 사이를 헤쳐가는 소리. 그런 풍경들을 바라보며 한참을 서 있다 돌아나왔다. 그저 탑의 환상일지도 모르지만, 나의 의지는 목표의식과 충만함으로 가득 찼다.","버프, 체력, 스태미나 회복",매우 화창한 왕국2,
CHOICE_EVT_F03_BALCONY_APPROACHING_VIEW_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_APPROACHING_VIEW,22,다가오는 풍경,"20%확률 유물 획득, 엘리트 전투 기회",안개낀 하늘,
CHOICE_EVT_F03_BALCONY_APPROACHING_VIEW_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_APPROACHING_VIEW,22,"바깥은 밑도끝도 보이지 않게 안개로 가득 메워져 있었으나, 저 하늘에서부터 불길한 기운의 무엇인가가 다가오는것이 느껴졌다. 나는 선택 해야만 한다.","20%확률 유물 획득, 엘리트 전투 기회",안개낀 하늘,
CHOICE_EVT_F03_BALCONY_FACE_IT_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_FACE_IT,23,마주한다.,"해당 층 엘리트 전투, 전투 후 유물 획득",안개낀 하늘,
CHOICE_EVT_F03_BALCONY_FACE_IT_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_FACE_IT,23,어디 한번 다가 와 봐라. 누가 됐든 상대하여 내 양식으로 삼아주리라. ,"해당 층 엘리트 전투, 전투 후 유물 획득",안개낀 하늘,
CHOICE_EVT_F03_BALCONY_WITHDRAW_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_WITHDRAW,24,도망친다.,체력 감소,닫힌 문,
CHOICE_EVT_F03_BALCONY_WITHDRAW_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_WITHDRAW,24,"저 불길한것을 마주해야 할 이유는 없다. 나는 서둘러 돌아 나와 문을 걸어잠궜다. 너무 서둘렀을 탓일까, 도망치는 과정에서 작은 부상을 입었다.",체력 감소,닫힌 문,
CHOICE_EVT_F03_BALCONY_RETURN_TEXT,choiceLabel,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_RETURN,25,돌아간다.,아무 일 도 일어나지 않았다.,닫힌 문,
CHOICE_EVT_F03_BALCONY_RETURN_RESULT,resultText,EVT_F03_BALCONY,CHOICE_EVT_F03_BALCONY_RETURN,25,굳이 여유부리고 싶은 생각은 없다. 나는 잡념을 접고 뒤로 돌아나갔다.,아무 일 도 일어나지 않았다.,닫힌 문,
EVT_F01_TREASURE_BODY,body,EVT_F01_TREASURE,,26,한 눈에 보기에도 값어치가 나가보이는 장식을 가진 상자를 발견했다.,,보물상자,
CHOICE_EVT_F01_TREASURE_OPEN_TEXT,choiceLabel,EVT_F01_TREASURE,CHOICE_EVT_F01_TREASURE_OPEN,27,열어본다.,95% 유물,유물,
CHOICE_EVT_F01_TREASURE_OPEN_RESULT,resultText,EVT_F01_TREASURE,CHOICE_EVT_F01_TREASURE_OPEN,27,상자의 안에서 골동품을 발견했다. 없는것 보단 낫겠다 싶은 마음에 골동품을 챙겼다.,95% 유물,유물,
CHOICE_EVT_F01_TREASURE_OPEN_GOLD_TEXT,choiceLabel,EVT_F01_TREASURE,CHOICE_EVT_F01_TREASURE_OPEN_GOLD,28,열어본다.,4% 대량의 골드,골드,
CHOICE_EVT_F01_TREASURE_OPEN_GOLD_RESULT,resultText,EVT_F01_TREASURE,CHOICE_EVT_F01_TREASURE_OPEN_GOLD,28,상자를 열어보자 황금빛이 방 안을 가득 메울정도의 골드가  쏟아져나왔다. 기꺼이 챙길 수 있을 만큼 챙겼다.,4% 대량의 골드,골드,
CHOICE_EVT_F01_TREASURE_OPEN_HP_TEXT,choiceLabel,EVT_F01_TREASURE,CHOICE_EVT_F01_TREASURE_OPEN_HP,29,열어본다.,1% 체력 감소,함정,
CHOICE_EVT_F01_TREASURE_OPEN_HP_RESULT,resultText,EVT_F01_TREASURE,CHOICE_EVT_F01_TREASURE_OPEN_HP,29,상자를 열어보자 버튼이 눌리는 소리와 함께 상자 안에서 칼날이 솟아올랐다. 미처 피하지 못한 칼날 파편에 다치고 말았다.,1% 체력 감소,함정,
EVT_F03_HIGH_AND_LOW_BODY,body,EVT_F03_HIGH_AND_LOW,,30,"탑을 오르면 오를수록 조용하게 스며들며 언뜻 들려왔던 목소리가 이제는 뚜렷이 의미를 알 수 있을 정도로 선명히 귓가를 울려온다. 위에서부터, 아래에서부터 동시에 울리는 목소리는 나의 대답을 독촉한다. 더 시달리지 않기 위해, 나는 선택해야만 한다.",,,
CHOICE_EVT_F03_HIGH_AND_LOW_HIGH_VOICE_TEXT,choiceLabel,EVT_F03_HIGH_AND_LOW,CHOICE_EVT_F03_HIGH_AND_LOW_HIGH_VOICE,31,높은 곳에서의 탄성,49.5% 확률 외신의 부름. 고대 신 진영 몬스터 대항용 유물 획득,,
CHOICE_EVT_F03_HIGH_AND_LOW_HIGH_VOICE_RESULT,resultText,EVT_F03_HIGH_AND_LOW,CHOICE_EVT_F03_HIGH_AND_LOW_HIGH_VOICE,31,"[저 아래에서 들려오는 목소리는 너를 나락으로 끌고가려는 악마의 목소리야][자, ""우'모{나}두'리"" 와 함께 저들을 해치우자][그러도록 하자]
수도 없는 울림에 잠시 정신을 잃은 사이, 나의 오른손에 본 적 없던 반지가 끼워져 있었다. 반지가 끼워진 손을 들어올려 한참을 감상했다. 더는 밑을 바라보고 싶지 않아졌다.",49.5% 확률 외신의 부름. 고대 신 진영 몬스터 대항용 유물 획득,,
CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_32_TEXT,choiceLabel,EVT_F03_HIGH_AND_LOW,CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_32,32,낮은 곳에서의 괴성,49.5% 확률 고대신의 부름. 외신 진영 몬스터 대항용 유물 획득,,
CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_32_RESULT,resultText,EVT_F03_HIGH_AND_LOW,CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_32,32,"『참새가 시끄럽게도 지저귀며』『땅의 아이를 가로채려함느 용납 할 수 없으매』『가서 고하라』『뿌리내리지 못하는 헛것들에게』『 나의 위용을 보여라』수도 없는 울림에 잠시 정신을 잃은 사이, 나의 왼 발목에 갑주가 채워져 있었다. 밤 하늘의 별빛보다도 아름다움에 눈을 떼기 힘들다.",49.5% 확률 고대신의 부름. 외신 진영 몬스터 대항용 유물 획득,,
CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_33_TEXT,choiceLabel,EVT_F03_HIGH_AND_LOW,CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_33,33,내면의 울림,"1% 확률 주신의 부름. 특별한, 강력한 효과 유물 획득",,
CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_33_RESULT,resultText,EVT_F03_HIGH_AND_LOW,CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_33,33,"무엇으로 나아가는가? 언제 찾을 수 있는가? 어떻게 확신 할 수 있는가? 어디서 들을 수 있는가? 왜 두렵지 않는가? '나' 는 누구인가? 여섯가지 울림이 내 안에서 퍼져울렸다. 혼탁한 어둠이 조금 걷혀 갈 때 쯤, 울림도 함께 멎었고,  나의 내면에 무엇인가 깃듦을 느낄 수 있었다.","1% 확률 주신의 부름. 특별한, 강력한 효과 유물 획득",,
CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_34_TEXT,choiceLabel,EVT_F03_HIGH_AND_LOW,CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_34,34,무시한다.,"스태미나? 감소, 디버프, 체력 잃음, 특별한 유물 획득",,
CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_34_RESULT,resultText,EVT_F03_HIGH_AND_LOW,CHOICE_EVT_F03_HIGH_AND_LOW_ACTION_34,34,"샅된 목소리에 흔들릴 시간따윈 없다. 현혹되지 않으려 정신을 집중하지만, 내 의도를 알아차렸는지, 목소리들은 한 층 더 성난 목소리로 나를 부른다. 뇌를 떄리는 소음에 나는 정신을 잃고 말았다.
눈을 뜬 후, 주머니속에 출처를 알 수 없는 유물이 들어 있었다. 누군가가 주고 간 것일까?","스태미나? 감소, 디버프, 체력 잃음, 특별한 유물 획득",,
EVT_F02_COURT_PAINTER_BODY,body,EVT_F02_COURT_PAINTER,,35,"물감으로 범벅이 된 문을 열고 들어가자, 이젤 위에 얹어진 캔버스 안에서 팔 하나가 뻗어나왔다. 붓을 들고 맞은편의 캔버스를 칠하려 하는 것 같다. 어떤걸 그리는게 좋을까?",,캔버스와 물감으로 범벅이 된 방,
CHOICE_EVT_F02_COURT_PAINTER_PORTRAIT_TEXT,choiceLabel,EVT_F02_COURT_PAINTER,CHOICE_EVT_F02_COURT_PAINTER_PORTRAIT,36,초상화를 부탁한다,유물 획득,,
CHOICE_EVT_F02_COURT_PAINTER_PORTRAIT_RESULT,resultText,EVT_F02_COURT_PAINTER,CHOICE_EVT_F02_COURT_PAINTER_PORTRAIT,36,"초상화를 부탁하자, 캔버스의 팔은 망설임 없이 붓을 움직여 순식간에 누군가의 초상화를 그려냈다. 위엄이 돋보이는 왕과, 행복한 듯 보이는 왕비로 보이는 자 들이 서로 마주보며 웃고 있었다. 감상을 하고 있으니, 초상화가 품속에서 물건을 꺼내 내게 건내주었다.",유물 획득,,
CHOICE_EVT_F02_COURT_PAINTER_STILL_LIFE_TEXT,choiceLabel,EVT_F02_COURT_PAINTER,CHOICE_EVT_F02_COURT_PAINTER_STILL_LIFE,37,정물화를 부탁한다,체력 소량 회복,,
CHOICE_EVT_F02_COURT_PAINTER_STILL_LIFE_RESULT,resultText,EVT_F02_COURT_PAINTER,CHOICE_EVT_F02_COURT_PAINTER_STILL_LIFE,37,"정물화를 부탁하자, 캔버스의 팔은 망설임 없이 붓을 움직여 순식간에 탐스러운 과일과 술병이 그려진 정물화를 그려냈다. 먹음직스러워 보이는 구성의 식탁 그림을 보는 것 만으로도 허기가 사라졌다.",체력 소량 회복,,
CHOICE_EVT_F02_COURT_PAINTER_LANDSCAPE_TEXT,choiceLabel,EVT_F02_COURT_PAINTER,CHOICE_EVT_F02_COURT_PAINTER_LANDSCAPE,38,풍경화를 부탁한다,스탯 강화,,
CHOICE_EVT_F02_COURT_PAINTER_LANDSCAPE_RESULT,resultText,EVT_F02_COURT_PAINTER,CHOICE_EVT_F02_COURT_PAINTER_LANDSCAPE,38,"풍경화를 부탁하자, 캔버스의 팔은 망설임 없이 붓을 움직여 순식간에 어느 풍경을 그려냈다. 자세히 보니... ... 이 풍경은 평화로울 적의 내 고향이다. 오래간만에 보는 그리운 풍경의 향수가 나의 오감을 갈무리한다",스탯 강화,,
CHOICE_EVT_F02_COURT_PAINTER_ACTION_39_TEXT,choiceLabel,EVT_F02_COURT_PAINTER,CHOICE_EVT_F02_COURT_PAINTER_ACTION_39,39,자화상을 부탁한다(히든),특별한 유물 획득,거울에 갇힌 팔,
CHOICE_EVT_F02_COURT_PAINTER_ACTION_39_RESULT,resultText,EVT_F02_COURT_PAINTER,CHOICE_EVT_F02_COURT_PAINTER_ACTION_39,39,"거울을 들어 그림 그리는 캔버스의 자화상을 부탁 했다. 팔이 거울 앞에서 잠시 멈추더니, 그대로 거울속으로 빨려들어갔다. 거울의 균열이 말끔히 고쳐졌다.",특별한 유물 획득,거울에 갇힌 팔,
EVT_F01_MERCHANT_BODY,body,EVT_F01_MERCHANT,,41,"""어서오십쇼..!"" 노예를 이끌고 다니는 상인과 탑에서 마주쳤다. 그는 나와 눈이 마주치자마자 노예에게 돗자리를 펴, 상품을 나열시키게 했다.",,탑의 구석,상인NPC 등장
CHOICE_EVT_F01_MERCHANT_USE_SHOP_TEXT,choiceLabel,EVT_F01_MERCHANT,CHOICE_EVT_F01_MERCHANT_USE_SHOP,42,상점을 이용한다.,상점 이용,,
CHOICE_EVT_F01_MERCHANT_USE_SHOP_RESULT,resultText,EVT_F01_MERCHANT,CHOICE_EVT_F01_MERCHANT_USE_SHOP,42,,상점 이용,,
CHOICE_EVT_F01_MERCHANT_ACTION_43_TEXT,choiceLabel,EVT_F01_MERCHANT,CHOICE_EVT_F01_MERCHANT_ACTION_43,43,상점을 떠난다.,상점 퇴장,,
CHOICE_EVT_F01_MERCHANT_ACTION_43_RESULT,resultText,EVT_F01_MERCHANT,CHOICE_EVT_F01_MERCHANT_ACTION_43,43,"""크흐.. 또 봅시다....."" 상인은 노예에게 서둘러 돗자리를 거두게 한 후, 어둠속으로 재빨리 사라졌다.",상점 퇴장,,
CHOICE_EVT_F01_MERCHANT_LEAVE_SHOP_TEXT,choiceLabel,EVT_F01_MERCHANT,CHOICE_EVT_F01_MERCHANT_LEAVE_SHOP,44,상점을 이용하지 않는다.,상점 퇴장,,
CHOICE_EVT_F01_MERCHANT_LEAVE_SHOP_RESULT,resultText,EVT_F01_MERCHANT,CHOICE_EVT_F01_MERCHANT_LEAVE_SHOP,44,"""뭐 하자는 거야!"" 상인은 돗자리를 거들떠보지도 않는 나에게 욕을 한바가지나 뱉은 후  노예를 흠씬 두들겨팼다. 이후 자리를 정리 하여 어둠속으로 사라졌다.",상점 퇴장,,
EVT_F02_MERCHANT_BODY,body,EVT_F02_MERCHANT,,45,"""후욱...쓸모없는 녀석..."" 중얼거리던 상인은 나를 발견하고는, ""어서오십쇼...!"" 하며 돗자리를 펴 상품을 나열했다.",,,
CHOICE_EVT_F02_MERCHANT_USE_SHOP_TEXT,choiceLabel,EVT_F02_MERCHANT,CHOICE_EVT_F02_MERCHANT_USE_SHOP,46,상점을 이용한다.,상점 이용,,
CHOICE_EVT_F02_MERCHANT_USE_SHOP_RESULT,resultText,EVT_F02_MERCHANT,CHOICE_EVT_F02_MERCHANT_USE_SHOP,46,,상점 이용,,
CHOICE_EVT_F02_MERCHANT_ACTION_47_TEXT,choiceLabel,EVT_F02_MERCHANT,CHOICE_EVT_F02_MERCHANT_ACTION_47,47,상점을 떠난다.,상점 퇴장,,
CHOICE_EVT_F02_MERCHANT_ACTION_47_RESULT,resultText,EVT_F02_MERCHANT,CHOICE_EVT_F02_MERCHANT_ACTION_47,47,"""이젠 이 빌어먹을 탑을 나가기만 하면 되겠어. 애당초 내 역할은 여기까지였다고!"" 상인은 허겁지겁 돗자리를 거둔 후 어둠속으로 재빨리 사라졌다.",상점 퇴장,,
CHOICE_EVT_F02_MERCHANT_LEAVE_SHOP_TEXT,choiceLabel,EVT_F02_MERCHANT,CHOICE_EVT_F02_MERCHANT_LEAVE_SHOP,48,상점을 이용하지 않는다.,상점 퇴장,,
CHOICE_EVT_F02_MERCHANT_LEAVE_SHOP_RESULT,resultText,EVT_F02_MERCHANT,CHOICE_EVT_F02_MERCHANT_LEAVE_SHOP,48,"""젠장! 완전히 공쳤군!!"" 상인은 돗자리를 거들떠보지도 않는 나에게 욕을 한바가지나 뱉은 후 허겁지겁 자리를 정리 하여 어둠속으로 사라졌다.",상점 퇴장,,
EVT_F03_MERCHANT_BODY,body,EVT_F03_MERCHANT,,49,"""어,..서? 오십,쇼..!"" 노예를 이끌고 다니는 상인과 탑에서 마주쳤다. 그는 나와 눈이 마주치기도 전에 돗자리를 펴 상품을 나열했다.",,,
CHOICE_EVT_F03_MERCHANT_USE_SHOP_TEXT,choiceLabel,EVT_F03_MERCHANT,CHOICE_EVT_F03_MERCHANT_USE_SHOP,50,상점을 이용한다.,상점 이용,,
CHOICE_EVT_F03_MERCHANT_USE_SHOP_RESULT,resultText,EVT_F03_MERCHANT,CHOICE_EVT_F03_MERCHANT_USE_SHOP,50,,상점 이용,,
CHOICE_EVT_F03_MERCHANT_ACTION_51_TEXT,choiceLabel,EVT_F03_MERCHANT,CHOICE_EVT_F03_MERCHANT_ACTION_51,51,상점을 떠난다.,상점 퇴장,,
CHOICE_EVT_F03_MERCHANT_ACTION_51_RESULT,resultText,EVT_F03_MERCHANT,CHOICE_EVT_F03_MERCHANT_ACTION_51,51,"""크흐...제,제발? 또! 봅시,다...!"" 상인은 엉성하게 돗자리를 거둔 후 어둠속으로 서서히 사라졌다.",상점 퇴장,,
CHOICE_EVT_F03_MERCHANT_LEAVE_SHOP_TEXT,choiceLabel,EVT_F03_MERCHANT,CHOICE_EVT_F03_MERCHANT_LEAVE_SHOP,52,상점을 이용하지 않는다.,상점 퇴장,,
